,Convertible Arbitrage,CTA Global,Distressed Securities,Emerging Markets,Equity Market Neutral,Event Driven,Fixed Income Arbitrage,Global Macro,Long/Short Equity,Merger Arbitrage,Relative Value,Short Selling,Funds Of Funds
1998-09,-0.0196,0.0454,-0.0215,-0.0395,0.0060999999999999995,-0.011000000000000001,-0.0362,-0.0059,0.0206,0.0076,0.0005,-0.037599999999999995,-0.0037
1998-10,-0.021400000000000002,0.0004,-0.0029,0.013999999999999999,0.0052,0.0091,-0.0801,-0.0223,0.0169,0.0159,-0.013999999999999999,-0.10769999999999999,-0.0002
1998-11,0.0269,-0.0089,0.016399999999999998,0.043,0.0158,0.024399999999999998,0.0052,0.0194,0.0291,0.022000000000000002,0.019799999999999998,-0.0756,0.022000000000000002
1998-12,0.0113,0.022099999999999998,0.0108,-0.0098,0.0209,0.0219,0.012,0.0233,0.0408,0.022400000000000003,0.016399999999999998,-0.053099999999999994,0.0222
1999-01,0.0219,-0.0167,0.0181,-0.012,0.0101,0.020099999999999996,0.0158,0.0086,0.0258,0.011200000000000002,0.0195,-0.0665,0.0202
1999-02,0.008199999999999999,0.0197,-0.0021,0.0102,0.0023,-0.0042,0.0208,-0.0111,-0.0169,0.0036,0.0085,0.0833,-0.0063
1999-03,0.013600000000000001,-0.006500000000000001,0.0159,0.058499999999999996,0.0033,0.019299999999999998,0.016,0.0024,0.0229,0.013300000000000001,0.0116,-0.0154,0.0213
1999-04,0.024300000000000002,0.021,0.0418,0.063,0.010700000000000001,0.0429,0.0106,0.0329,0.031200000000000002,0.0218,0.023799999999999998,-0.0375,0.04
1999-05,0.0166,-0.015,0.0207,0.0060999999999999995,0.0089,0.0215,0.0072,-0.0055000000000000005,0.0095,0.021,0.0146,0.0009,0.011899999999999999
1999-06,0.0102,0.023399999999999997,0.0273,0.0654,0.0168,0.0297,0.0088,0.021400000000000002,0.0315,0.0222,0.0148,-0.0412,0.0282
1999-07,0.0101,-0.0051,0.0084,-0.0060999999999999995,0.013500000000000002,0.0096,0.0051,-0.0018,0.0177,0.0147,0.011000000000000001,0.0092,0.0088
1999-08,0.0048,-0.0027,0.002,-0.0147,0.0095,-0.0027,-0.0028000000000000004,-0.0060999999999999995,0.0022,0.005,0.0062,0.046799999999999994,0.0028000000000000004
1999-09,0.0096,0.0064,-0.0040999999999999995,-0.0069,0.0095,0.009000000000000001,0.0092,-0.0002,0.0113,0.0116,0.0105,0.0401,0.0052
1999-10,0.0045000000000000005,-0.0354,0.0027,0.0288,0.0066,0.0054,0.0087,0.0073,0.0212,0.0096,0.006999999999999999,-0.013000000000000001,0.013000000000000001
1999-11,0.0124,0.0166,0.022000000000000002,0.0692,0.013300000000000001,0.028399999999999998,0.0106,0.0405,0.0481,0.023700000000000002,0.0137,-0.12390000000000001,0.0483
1999-12,0.013999999999999999,0.014199999999999999,0.03,0.12300000000000001,0.019799999999999998,0.0286,0.0097,0.061200000000000004,0.0745,0.009000000000000001,0.0183,-0.1137,0.0622
2000-01,0.0227,0.0128,0.0088,0.0077,0.0075,0.0088,0.0040999999999999995,0.0021,0.0075,0.0143,0.0173,0.042699999999999995,0.0169
2000-02,0.026699999999999998,-0.0022,0.0421,0.0528,0.0253,0.0346,0.0097,0.0408,0.0699,0.0239,0.018500000000000003,-0.134,0.0666
2000-03,0.024300000000000002,-0.0138,0.0103,0.0318,0.0134,0.0069,-0.0060999999999999995,-0.0104,0.0006,0.0131,0.0163,-0.023,0.0039000000000000003
2000-04,0.0223,-0.0241,-0.0101,-0.0541,0.0168,-0.0059,-0.0006,-0.0304,-0.020099999999999996,0.018799999999999997,0.0092,0.10279999999999999,-0.0269
2000-05,0.0149,0.011399999999999999,-0.0132,-0.0433,0.0062,-0.0034000000000000002,0.010700000000000001,-0.006999999999999999,-0.0097,0.0146,0.008,0.0704,-0.012199999999999999
2000-06,0.0179,-0.0124,0.0203,0.0334,0.0171,0.0268,0.0058,0.0154,0.0349,0.0167,0.0176,-0.1107,0.0311
2000-07,0.009300000000000001,-0.0131,0.0064,0.0025,0.0063,0.005699999999999999,0.0018,0.0037,0.0006,0.0116,0.0084,0.0553,-0.0022
2000-08,0.016200000000000003,0.0189,0.013999999999999999,0.0368,0.021,0.0173,0.010700000000000001,0.0248,0.0345,0.015700000000000002,0.015700000000000002,-0.11349999999999999,0.026699999999999998
2000-09,0.0141,-0.0208,-0.0019,-0.0462,0.0058,0.0048,0.0076,-0.0149,-0.0016,0.0137,0.0075,0.1204,-0.0069
2000-10,0.0052,0.0075,-0.0073,-0.0256,0.004,-0.0068000000000000005,0.0006,-0.0024,-0.0084,0.0026,-0.0004,0.0784,-0.0104
2000-11,-0.008100000000000001,0.0425,-0.0209,-0.0385,0.0045000000000000005,-0.013600000000000001,0.0066,0.0125,-0.015300000000000001,0.0102,0.0006,0.16570000000000001,-0.020499999999999997
2000-12,-0.0002,0.0682,0.0001,0.0116,0.016,0.0127,0.0048,0.0472,0.0248,0.0125,0.0075,0.0063,0.013300000000000001
2001-01,0.0344,0.0025,0.0308,0.058600000000000006,0.0075,0.0298,0.0163,0.021400000000000002,0.0165,0.0111,0.0333,-0.0271,0.0223
2001-02,0.0182,-0.0016,0.01,-0.022099999999999998,0.012,0.0045000000000000005,0.0054,-0.0072,-0.0264,0.0054,0.003,0.10210000000000001,-0.0089
2001-03,0.016200000000000003,0.0438,-0.0037,-0.0175,0.0108,-0.0042,0.0051,0.0038,-0.0199,-0.0060999999999999995,-0.0011,0.062,-0.0068000000000000005
2001-04,0.015700000000000002,-0.0362,0.0048,0.011399999999999999,0.0075,0.011000000000000001,0.009399999999999999,0.0049,0.0246,0.0058,0.0174,-0.09910000000000001,0.0104
2001-05,0.0033,0.008100000000000001,0.0235,0.0278,0.0077,0.018500000000000003,0.0068000000000000005,0.0032,0.0043,0.0161,0.0141,-0.013000000000000001,0.008
2001-06,0.0012,-0.0077,0.036000000000000004,0.016,0.0017000000000000001,0.0063,0.0017000000000000001,0.0017000000000000001,0.0019,-0.0087,0.0019,0.011000000000000001,0.0013
2001-07,0.0091,-0.004,0.0073,-0.0286,0.0031,0.0049,0.0054,-0.004,-0.0144,0.0079,0.001,0.0353,-0.004
2001-08,0.014199999999999999,0.015300000000000001,0.0106,0.003,0.009399999999999999,0.009000000000000001,0.0105,0.0006,-0.0096,0.009899999999999999,-0.0031,0.07519999999999999,0.0019
2001-09,0.0078000000000000005,0.0246,-0.0014000000000000002,-0.0425,0.0023,-0.0254,-0.0013,-0.006999999999999999,-0.0348,-0.026699999999999998,-0.022099999999999998,0.0941,-0.014199999999999999
2001-10,0.011699999999999999,0.0336,0.0103,0.0278,0.0058,0.0148,0.0134,0.0208,0.009899999999999999,0.0085,0.016399999999999998,-0.0298,0.0095
2001-11,0.008,-0.054299999999999994,0.0086,0.0483,0.0055000000000000005,0.0105,-0.0024,0.0021,0.02,0.0014000000000000002,0.013600000000000001,-0.0655,0.0058
2001-12,-0.009399999999999999,0.0148,0.0015,0.0421,0.005600000000000001,0.010700000000000001,0.0053,0.0138,0.018000000000000002,0.0045000000000000005,0.0097,-0.025099999999999997,0.009899999999999999
2002-01,0.0148,-0.0072,0.018600000000000002,0.0273,0.006500000000000001,0.0078000000000000005,0.0086,0.0069,-0.0037,0.0077,0.0097,0.034300000000000004,0.003
2002-02,-0.0049,-0.0202,-0.0033,0.0181,-0.0007000000000000001,-0.0070999999999999995,0.005600000000000001,-0.0034999999999999996,-0.0123,-0.0044,-0.0011,0.039,-0.0015
2002-03,0.0053,0.0009,0.0052,0.0331,0.004699999999999999,0.015300000000000001,0.0045000000000000005,0.0064,0.0155,0.0073,0.014499999999999999,-0.0446,0.009000000000000001
2002-04,0.0096,-0.0104,0.0139,0.0144,0.0076,0.0046,0.0113,0.0098,-0.0042,-0.0013,0.006999999999999999,0.0483,0.0052
2002-05,0.0033,0.027000000000000003,0.0091,0.0001,0.0053,0.0001,0.009899999999999999,0.0123,-0.0034000000000000002,0.0,0.0031,0.0346,0.005
2002-06,0.0004,0.0655,-0.011699999999999999,-0.0292,0.0022,-0.028300000000000002,0.0069,-0.0022,-0.024900000000000002,-0.017,-0.010700000000000001,0.0548,-0.0095
2002-07,-0.0159,0.041299999999999996,-0.013300000000000001,-0.030899999999999997,-0.0013,-0.03,0.005699999999999999,-0.0078000000000000005,-0.038900000000000004,-0.0174,-0.018500000000000003,0.0644,-0.013999999999999999
2002-08,0.005,0.022000000000000002,0.0009,0.011899999999999999,0.0069,0.006,0.0097,0.0063,0.0040999999999999995,0.0060999999999999995,0.0058,0.0015,0.0037
2002-09,0.0146,0.028399999999999998,-0.0044,-0.0252,0.0015,-0.006999999999999999,-0.0033,0.0054,-0.016,-0.0028000000000000004,-0.011000000000000001,0.0731,-0.0033
2002-10,0.0104,-0.037599999999999995,-0.0031,0.0154,0.0016,0.0031,-0.0063,-0.0086,0.0123,0.0032,0.0084,-0.0405,-0.0031
2002-11,0.025099999999999997,-0.016399999999999998,0.0239,0.019,0.0025,0.0216,0.0054,0.004699999999999999,0.022400000000000003,0.0054,0.018500000000000003,-0.0547,0.0106
2002-12,0.015700000000000002,0.0489,0.0222,0.0048,0.009399999999999999,0.0044,0.015300000000000001,0.0192,-0.0149,0.0046,0.0023,0.0443,0.0077
2003-01,0.028300000000000002,0.0441,0.024300000000000002,0.0012,0.0083,0.0154,0.0106,0.0182,0.0005,0.004,0.0067,0.016200000000000003,0.0072
2003-02,0.013300000000000001,0.04019999999999999,0.0092,0.0084,0.0024,0.0026,0.0079,0.0166,-0.0037,0.0018,-0.0004,0.013000000000000001,0.0031
2003-03,0.0089,-0.044500000000000005,0.0113,0.0019,0.0015,0.0083,0.0019,-0.012199999999999999,0.002,-0.0007000000000000001,0.0049,-0.0075,-0.0004
2003-04,0.015,0.006500000000000001,0.0345,0.045,0.0031,0.027200000000000002,0.0091,0.011699999999999999,0.0298,0.009899999999999999,0.018600000000000002,-0.06559999999999999,0.0134
2003-05,0.013600000000000001,0.049,0.027000000000000003,0.0433,0.010700000000000001,0.0301,0.0207,0.0397,0.0362,0.0154,0.0212,-0.0499,0.020499999999999997
2003-06,-0.0058,-0.0192,0.026699999999999998,0.0268,0.0034000000000000002,0.0181,0.0044,0.005600000000000001,0.0128,0.0048,0.0070999999999999995,-0.016200000000000003,0.0068000000000000005
2003-07,-0.0072,-0.0171,0.011699999999999999,0.0104,-0.0006,0.011899999999999999,-0.0092,-0.0034999999999999996,0.0118,0.0053,0.0040999999999999995,-0.0361,0.0025
2003-08,-0.0087,0.0078000000000000005,0.0137,0.0374,0.0031,0.013300000000000001,0.0043,0.0202,0.0179,0.006999999999999999,0.0058,-0.0354,0.0078000000000000005
2003-09,0.0171,-0.0019,0.0242,0.0264,0.0078000000000000005,0.013300000000000001,0.0105,0.0215,0.009399999999999999,0.0077,0.0086,0.013600000000000001,0.0121
2003-10,0.0146,0.0104,0.026699999999999998,0.0259,0.0115,0.0191,0.0034999999999999996,0.0111,0.029900000000000003,0.0111,0.0159,-0.06559999999999999,0.0152
2003-11,0.0092,0.0018,0.0154,0.0096,0.0046,0.0116,0.0069,0.0031,0.013000000000000001,0.0044,0.0102,-0.013600000000000001,0.006999999999999999
2003-12,0.0054,0.0381,0.019799999999999998,0.0403,0.0054,0.0172,0.0101,0.029300000000000003,0.0191,0.0098,0.0127,-0.0178,0.0139
2004-01,0.011899999999999999,0.0199,0.0301,0.025099999999999997,0.0109,0.023399999999999997,0.0092,0.011699999999999999,0.0192,0.0097,0.0146,-0.009000000000000001,0.015600000000000001
2004-02,0.0017000000000000001,0.0529,0.0075,0.0253,0.0063,0.0113,0.0084,0.015,0.0123,0.0051,0.005699999999999999,0.0018,0.0111
2004-03,0.0060999999999999995,-0.0051,0.0046,0.0172,0.0032,0.0016,0.0003,0.0064,0.0040999999999999995,0.0017000000000000001,0.0038,-0.0148,0.0043
2004-04,0.002,-0.053200000000000004,0.009300000000000001,-0.0252,-0.008199999999999999,0.0002,0.0062,-0.0178,-0.0165,-0.0039000000000000003,-0.0045000000000000005,0.0384,-0.0068000000000000005
2004-05,-0.0128,-0.0118,-0.001,-0.0181,0.0024,-0.0023,0.004,-0.008100000000000001,-0.0034999999999999996,0.0,-0.0037,-0.0024,-0.008199999999999999
2004-06,-0.0106,-0.0316,0.0202,0.002,0.0042,0.0113,0.0055000000000000005,-0.0019,0.0091,0.0017000000000000001,0.0022,-0.0051,0.0034000000000000002
2004-07,0.0013,-0.011899999999999999,0.0019,-0.0027,0.0006,-0.008199999999999999,0.0062,-0.0014000000000000002,-0.0154,-0.0092,0.0007000000000000001,0.0638,-0.0049
2004-08,0.004,-0.0084,0.0088,0.013300000000000001,-0.0009,0.0034999999999999996,0.0036,-0.0039000000000000003,-0.0022,0.0011,0.0031,0.0126,-0.001
2004-09,-0.0017000000000000001,0.022000000000000002,0.0104,0.027999999999999997,0.0085,0.0103,0.0012,0.0008,0.021,0.0042,0.0052,-0.0216,0.009899999999999999
2004-10,-0.0044,0.0358,0.0143,0.018500000000000003,-0.0005,0.0124,0.0028000000000000004,0.0138,0.0074,0.0074,0.004,-0.0092,0.0068000000000000005
2004-11,0.008100000000000001,0.0475,0.0337,0.032799999999999996,0.013999999999999999,0.030600000000000002,0.0075,0.027999999999999997,0.0308,0.016399999999999998,0.0149,-0.0574,0.024399999999999998
2004-12,0.005600000000000001,0.0,0.026600000000000002,0.020099999999999996,0.0058,0.024399999999999998,0.006,0.0033,0.0178,0.013300000000000001,0.009899999999999999,-0.0391,0.014499999999999999
2005-01,-0.0096,-0.0438,0.0037,0.0143,0.008100000000000001,0.0004,0.0044,-0.004699999999999999,-0.0017000000000000001,0.0,0.0012,0.0387,0.0006
2005-02,-0.0058,0.0005,0.0134,0.0346,0.008,0.0144,0.0085,0.0171,0.021,0.006500000000000001,0.008100000000000001,0.0118,0.013600000000000001
2005-03,-0.013999999999999999,-0.0006,0.0032,-0.0197,0.0019,-0.0004,0.0024,-0.0027,-0.0096,0.0032,-0.0042,0.024399999999999998,-0.0044
2005-04,-0.0316,-0.0354,-0.0052,-0.0049,-0.003,-0.0128,-0.0003,-0.008,-0.0184,-0.0105,-0.0108,0.0393,-0.0141
2005-05,-0.013300000000000001,0.0232,0.0006,0.0072,0.004699999999999999,0.006500000000000001,-0.001,0.0088,0.0115,0.0095,-0.0002,-0.0475,0.0018
2005-06,0.010700000000000001,0.026000000000000002,0.013300000000000001,0.016,0.008100000000000001,0.013300000000000001,0.001,0.0116,0.0195,0.0085,0.0095,-0.0032,0.0131
2005-07,0.016399999999999998,-0.0013,0.0173,0.025699999999999997,0.0078000000000000005,0.0215,0.008100000000000001,0.011899999999999999,0.0265,0.0115,0.0149,-0.0242,0.0134
2005-08,0.0066,0.01,0.0124,0.0152,0.0062,0.0092,0.0036,0.0083,0.0097,0.0060999999999999995,0.0053,0.0259,0.0079
2005-09,0.014199999999999999,0.0079,0.011200000000000002,0.04019999999999999,0.0087,0.01,0.0062,0.0269,0.0222,0.0034999999999999996,0.012199999999999999,0.019799999999999998,0.0147
2005-10,-0.0015,-0.0092,-0.0032,-0.023,0.0001,-0.0173,0.005699999999999999,-0.0074,-0.0174,-0.014499999999999999,-0.0038,0.0233,-0.0149
2005-11,0.0004,0.0379,0.01,0.0279,0.0060999999999999995,0.0125,0.0015,0.016399999999999998,0.021099999999999997,0.011200000000000002,0.0067,-0.03,0.016
2005-12,0.0092,-0.015300000000000001,0.012199999999999999,0.028399999999999998,0.0068000000000000005,0.014199999999999999,0.0054,0.013500000000000002,0.024900000000000002,0.0138,0.0126,-0.0034999999999999996,0.0191
2006-01,0.025,0.0174,0.0253,0.0526,0.0115,0.0341,0.009300000000000001,0.0258,0.0381,0.027200000000000002,0.023799999999999998,-0.0288,0.0286
2006-02,0.0116,-0.018600000000000002,0.006500000000000001,0.0161,0.0046,0.0051,0.0040999999999999995,0.0002,0.0016,0.0104,0.0073,0.0064,0.0037
2006-03,0.010700000000000001,0.028399999999999998,0.0172,0.012199999999999999,0.0098,0.018500000000000003,0.0055000000000000005,0.009399999999999999,0.023799999999999998,0.0144,0.015700000000000002,-0.0139,0.016399999999999998
2006-04,0.0064,0.0387,0.019299999999999998,0.0365,0.0102,0.016399999999999998,0.0121,0.023799999999999998,0.0172,0.011899999999999999,0.0126,-0.0012,0.0171
2006-05,0.0091,-0.0146,0.0086,-0.038900000000000004,0.0002,0.0008,0.0059,-0.0155,-0.0248,0.0009,-0.0025,0.0246,-0.013300000000000001
2006-06,0.0012,-0.014199999999999999,-0.0015,-0.0097,0.0063,0.0012,0.0036,-0.0015,-0.0062,0.0087,0.0021,0.0118,-0.0028000000000000004
2006-07,0.0066,-0.0216,0.0009,0.0067,0.0051,-0.0011,0.0064,0.0006,-0.0031,0.0058,0.0017000000000000001,0.0173,-0.0005
2006-08,0.0098,0.002,0.009899999999999999,0.013300000000000001,-0.0009,0.011200000000000002,0.0037,-0.0039000000000000003,0.011399999999999999,0.0053,0.0092,-0.015600000000000001,0.0066
2006-09,0.009300000000000001,-0.0055000000000000005,0.0033,0.0011,0.0009,0.0034999999999999996,0.0014000000000000002,-0.0067,0.0005,0.0040999999999999995,0.004,-0.0236,-0.0003
2006-10,0.0054,0.0102,0.0194,0.025699999999999997,0.006500000000000001,0.0206,0.0067,0.0097,0.0194,0.0132,0.0132,-0.038,0.0163
2006-11,0.0092,0.0226,0.0179,0.0323,0.0075,0.0182,0.006,0.0199,0.02,0.014199999999999999,0.0129,-0.0268,0.018500000000000003
2006-12,0.0127,0.0146,0.0165,0.0291,0.010700000000000001,0.0168,0.0072,0.0116,0.015300000000000001,0.013300000000000001,0.0128,0.0039000000000000003,0.0175
2007-01,0.013000000000000001,0.0113,0.015,0.0079,0.0083,0.020099999999999996,0.0069,0.0060999999999999995,0.0121,0.0191,0.013500000000000002,-0.010700000000000001,0.0121
2007-02,0.011699999999999999,-0.0144,0.014499999999999999,0.01,0.0051,0.0207,0.0106,0.0018,0.008199999999999999,0.0255,0.011399999999999999,0.0028000000000000004,0.0096
2007-03,0.006,-0.0141,0.0108,0.018500000000000003,0.0101,0.0146,0.006,0.0027,0.0115,0.0063,0.008100000000000001,-0.0051,0.0096
2007-04,0.0026,0.0241,0.016399999999999998,0.0255,0.0089,0.0197,0.0070999999999999995,0.0152,0.019799999999999998,0.016,0.0134,-0.0265,0.0163
2007-05,0.011000000000000001,0.023,0.018000000000000002,0.027000000000000003,0.0121,0.0213,0.0055000000000000005,0.0192,0.022400000000000003,0.0171,0.015600000000000001,-0.0199,0.0204
2007-06,0.0011,0.0229,0.0027,0.0236,0.0077,-0.0007000000000000001,0.0048,0.010700000000000001,0.0077,-0.0053,0.01,0.0236,0.008199999999999999
2007-07,-0.0053,-0.012199999999999999,-0.005600000000000001,0.0275,0.0051,-0.0032,0.0007000000000000001,0.0116,0.0009,-0.0054,0.0004,0.048600000000000004,0.0040999999999999995
2007-08,-0.014499999999999999,-0.027999999999999997,-0.0118,-0.0274,-0.009399999999999999,-0.0144,-0.0048,-0.0116,-0.016,0.0001,-0.0077,0.0092,-0.0222
2007-09,0.0161,0.046900000000000004,0.0095,0.042800000000000005,0.0123,0.0134,0.016399999999999998,0.033,0.0256,0.0131,0.015300000000000001,-0.0207,0.0199
2007-10,0.0177,0.027999999999999997,0.0175,0.048499999999999995,0.0168,0.021400000000000002,0.011399999999999999,0.0304,0.0281,0.0191,0.02,-0.0026,0.030299999999999997
2007-11,-0.0131,-0.0016,-0.0169,-0.023700000000000002,-0.0018,-0.0202,-0.009399999999999999,-0.0063,-0.0225,-0.0149,-0.011200000000000002,0.0719,-0.0148
2007-12,-0.0077,0.011699999999999999,0.0002,0.013000000000000001,0.0054,0.0007000000000000001,0.0036,0.0104,0.0043,-0.0025,0.0022,0.005600000000000001,0.004
2008-01,-0.0009,0.0255,-0.0233,-0.050300000000000004,-0.011200000000000002,-0.0271,-0.0012,-0.001,-0.04,-0.0126,-0.0118,0.0556,-0.027200000000000002
2008-02,-0.0083,0.062,0.0014000000000000002,0.027999999999999997,0.012,0.0084,-0.0049,0.031200000000000002,0.013999999999999999,0.006,0.0064,0.03,0.014199999999999999
2008-03,-0.0317,-0.005600000000000001,-0.0126,-0.0379,-0.0049,-0.0168,-0.030600000000000002,-0.0169,-0.0236,-0.0045000000000000005,-0.016200000000000003,0.0192,-0.0262
2008-04,0.0076,-0.0078000000000000005,0.0088,0.019,0.0059,0.0118,0.0187,0.0078000000000000005,0.0223,0.0149,0.013000000000000001,-0.0461,0.0097
2008-05,0.010700000000000001,0.016200000000000003,0.0137,0.0163,0.0126,0.0176,0.0103,0.011399999999999999,0.0227,0.013600000000000001,0.0159,-0.014199999999999999,0.0172
2008-06,-0.008100000000000001,0.033,-0.0031,-0.0274,0.015600000000000001,-0.0113,-0.0027,0.003,-0.016399999999999998,-0.0109,-0.0084,0.0751,-0.0068000000000000005
2008-07,-0.018799999999999997,-0.0333,-0.0182,-0.033,-0.01,-0.0166,-0.0023,-0.0213,-0.026099999999999998,0.0011,-0.0125,0.0072,-0.0264
2008-08,-0.0066,-0.011399999999999999,-0.0072,-0.0336,-0.013500000000000002,-0.0025,-0.0003,-0.013300000000000001,-0.0146,0.0051,-0.0023,-0.0215,-0.015600000000000001
2008-09,-0.1027,0.001,-0.0518,-0.09820000000000001,-0.0285,-0.06269999999999999,-0.0506,-0.0313,-0.0675,-0.0276,-0.0538,0.0378,-0.061799999999999994
2008-10,-0.12369999999999999,0.0345,-0.0775,-0.1331,-0.0044,-0.0625,-0.0867,-0.015700000000000002,-0.0629,-0.0245,-0.0692,0.11699999999999999,-0.06
2008-11,-0.0276,0.021400000000000002,-0.0435,-0.0391,-0.0587,-0.0301,-0.0308,0.0033,-0.018799999999999997,0.0006,-0.0209,0.042800000000000005,-0.0192
2008-12,0.0177,0.013999999999999999,-0.0197,-0.001,0.0005,-0.0070999999999999995,-0.0034999999999999996,0.0118,0.008100000000000001,0.016200000000000003,0.0031,-0.0146,-0.011899999999999999
2009-01,0.049100000000000005,-0.0016,0.008199999999999999,-0.011200000000000002,0.0079,0.0132,0.011200000000000002,0.0029,-0.0017000000000000001,0.005600000000000001,0.01,0.0282,0.006
2009-02,0.016399999999999998,-0.0031,-0.012199999999999999,-0.013300000000000001,-0.0046,-0.0091,0.006500000000000001,-0.0055000000000000005,-0.0161,0.0006,-0.0016,0.032799999999999996,-0.0037
2009-03,0.0235,-0.018000000000000002,0.0022,0.035,0.0021,0.011699999999999999,0.005699999999999999,0.0048,0.018799999999999997,0.0125,0.01,-0.0462,0.0008
2009-04,0.05,-0.013999999999999999,0.0387,0.0663,-0.0012,0.0337,0.022099999999999998,0.0127,0.0375,0.008100000000000001,0.0342,-0.08199999999999999,0.0092
2009-05,0.057800000000000004,0.0213,0.0504,0.08839999999999999,0.0146,0.044199999999999996,0.0365,0.0348,0.0516,0.010700000000000001,0.0392,0.0008,0.031200000000000002
2009-06,0.0241,-0.0147,0.019799999999999998,0.0013,0.0036,0.0123,0.0126,-0.0076,0.0009,0.0104,0.0101,-0.009399999999999999,0.0024
2009-07,0.0611,-0.0012,0.0311,0.0451,0.0042,0.0291,0.0322,0.0166,0.0277,0.0068000000000000005,0.026000000000000002,-0.0596,0.015300000000000001
2009-08,0.0315,0.0054,0.024399999999999998,0.0166,0.006999999999999999,0.0207,0.0202,0.005,0.015700000000000002,0.0102,0.016200000000000003,-0.0165,0.0113
2009-09,0.0368,0.0151,0.040999999999999995,0.0536,0.0085,0.0336,0.0325,0.0231,0.0285,0.011000000000000001,0.022000000000000002,-0.0394,0.0171
2009-10,0.011899999999999999,-0.0147,0.0139,0.0108,-0.0005,0.0043,0.018500000000000003,-0.0004,-0.0086,0.0026,0.0032,0.031400000000000004,-0.0021
2009-11,0.008,0.0332,0.0202,0.0151,0.0009,0.0152,0.0096,0.0165,0.013000000000000001,0.0068000000000000005,0.0089,-0.0227,0.008199999999999999
2009-12,0.0215,-0.0253,0.032400000000000005,0.0229,0.0072,0.0235,0.0141,-0.0028000000000000004,0.018600000000000002,0.0102,0.0161,-0.0373,0.0066
